method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,1,0.8492477740251766,0.904307152601832,0.9137937253931936,4.037381649017334,-1,-1.0,-1.0,-1.0
LightGBM,1,0.868590727663494,0.9148089171974524,0.9286917939521364,0.184471845626831,-1,-1.0,-1.0,-1.0
KernelSVM,1,0.8004298434141849,0.8798521256931608,0.7484048090202626,407.1795911788941,-1,-1.0,-1.0,-1.0
RuleFit,1,0.8513969910961007,0.905653021442495,0.912464184857667,2.221327066421509,76,26.791218913110225,0.3525160383303977,0.4125656649158618
GLRM,1,0.8455634019035922,0.9007693825212074,0.9045165728773732,149.16726326942444,86,32.54221676389315,0.3783978693475948,0.4174754488561174
LIRE,1,0.854774332207553,0.9069080889588664,0.9138127924473852,118.39680337905884,73,17.692354927847713,0.2423610264088727,0.4482682807049221
RF,2,0.8630221130221131,0.9137330754352032,0.9126412245723532,4.044181823730469,-1,-1.0,-1.0,-1.0
LightGBM,2,0.8654791154791155,0.9138473642800944,0.9250503599498052,0.1914606094360351,-1,-1.0,-1.0,-1.0
KernelSVM,2,0.8037469287469288,0.8829884636513459,0.7542754359025164,418.2351143360138,-1,-1.0,-1.0,-1.0
RuleFit,2,0.8593366093366094,0.9103367267032104,0.9151904390396935,10.725613594055176,175,58.02180589680589,0.3315531765531765,0.4180141610880746
GLRM,2,0.8436732186732187,0.9000196425063839,0.8981049488970345,49.23631310462952,51,23.013513513513512,0.4512453630100688,0.3824221147667612
LIRE,2,0.8587223587223587,0.9099451840250588,0.9097705526385312,160.27095246315002,68,13.659398034398034,0.2008735005058534,0.4601530543690616
RF,3,0.8617936117936118,0.9127906976744186,0.9166803402186116,4.856395721435547,-1,-1.0,-1.0,-1.0
LightGBM,3,0.8792997542997543,0.9225920819381525,0.9289527400766132,0.1937212944030761,-1,-1.0,-1.0,-1.0
KernelSVM,3,0.7951474201474201,0.87668700314291,0.7678303117363451,405.89592123031616,-1,-1.0,-1.0,-1.0
RuleFit,3,0.8617936117936118,0.9123831775700936,0.9183624450993988,10.661766529083252,177,61.94686732186732,0.3499823012534877,0.4107836623229758
GLRM,3,0.8498157248157249,0.9039481437831468,0.9014175603493824,156.86046314239502,60,28.73095823095823,0.4788493038493038,0.3734119518746724
LIRE,3,0.8617936117936118,0.9115566037735848,0.9137993486229444,120.28959941864014,69,16.786240786240786,0.2432788519745041,0.4483011600141476
RF,4,0.8535012285012284,0.9074684772065956,0.904041076382009,4.069509983062744,-1,-1.0,-1.0,-1.0
LightGBM,4,0.8697788697788698,0.9161724001581654,0.9199173601479428,0.1926538944244384,-1,-1.0,-1.0,-1.0
KernelSVM,4,0.8015970515970516,0.8807678110003692,0.7537661605904498,394.6303060054779,-1,-1.0,-1.0,-1.0
RuleFit,4,0.855036855036855,0.9073055773762766,0.90702191070603,10.960356712341309,164,61.68304668304668,0.3761161383112603,0.4017505882576294
GLRM,4,0.839987714987715,0.8974207521165585,0.890336049468331,54.70816326141357,49,21.61117936117936,0.4410444767587624,0.3851107646487557
LIRE,4,0.8449017199017199,0.9019607843137256,0.9010509543623276,122.357399225235,67,13.015663390663391,0.1942636326964685,0.4629235189791134
