method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,1,0.8896247240618101,0.9400479616306954,0.9027358490566038,1.02693772315979,-1,-1.0,-1.0,-1.0
LightGBM,1,0.8896247240618101,0.9393203883495146,0.8874528301886792,0.3534502983093261,-1,-1.0,-1.0,-1.0
KernelSVM,1,0.8807947019867549,0.9364705882352942,0.6843396226415095,2.5331242084503174,-1,-1.0,-1.0,-1.0
RuleFit,1,0.891832229580574,0.9407496977025394,0.8882075471698112,0.2258076667785644,31,17.49448123620309,0.5643381043936481,0.291390461965844
GLRM,1,0.8852097130242825,0.937046004842615,0.8916037735849058,19.1696617603302,40,23.15673289183223,0.5789183222958058,0.3053922577780238
LIRE,1,0.8962472406181016,0.9423312883435582,0.8782547169811321,7.302134990692139,19,4.644591611479028,0.2444521900778436,0.4529508916297293
RF,2,0.9048672566371682,0.948626045400239,0.8933173076923077,1.0147488117218018,-1,-1.0,-1.0,-1.0
LightGBM,2,0.8849557522123894,0.9362745098039216,0.8973076923076923,0.1215412616729736,-1,-1.0,-1.0,-1.0
KernelSVM,2,0.8827433628318584,0.9374262101534828,0.7347596153846154,2.439284086227417,-1,-1.0,-1.0,-1.0
RuleFit,2,0.8960176991150443,0.9427527405602923,0.8930528846153846,1.4849004745483398,68,27.36504424778761,0.4024271212909943,0.3837123496886284
GLRM,2,0.8938053097345132,0.9416058394160584,0.8791826923076924,4.617835760116577,15,10.06637168141593,0.6710914454277287,0.2351346848112639
LIRE,2,0.8915929203539823,0.9401709401709402,0.8725240384615384,6.342092514038086,19,5.847345132743363,0.3077550069864928,0.4329828076663981
RF,3,0.8871681415929203,0.9390681003584228,0.8463942307692307,0.6090877056121826,-1,-1.0,-1.0,-1.0
LightGBM,3,0.8716814159292036,0.9297820823244553,0.8403846153846154,0.3226504325866699,-1,-1.0,-1.0,-1.0
KernelSVM,3,0.8871681415929203,0.9400705052878966,0.6827884615384615,1.8492791652679443,-1,-1.0,-1.0,-1.0
RuleFit,3,0.8849557522123894,0.9382422802850356,0.8098557692307692,1.4459340572357178,20,15.3429203539823,0.7671460176991151,0.1207879203852532
GLRM,3,0.8915929203539823,0.9408926417370326,0.8452163461538461,14.033376455307009,37,19.331858407079647,0.5224826596508013,0.3363258422526024
LIRE,3,0.8938053097345132,0.9423076923076924,0.849375,6.989046096801758,15,5.04424778761062,0.336283185840708,0.4307086633061104
RF,4,0.8982300884955752,0.9448441247002398,0.8760096153846154,0.6076459884643555,-1,-1.0,-1.0,-1.0
LightGBM,4,0.9048672566371682,0.9472392638036808,0.8778846153846155,0.3121945858001709,-1,-1.0,-1.0,-1.0
KernelSVM,4,0.8849557522123894,0.9389671361502347,0.7287980769230769,1.170207977294922,-1,-1.0,-1.0,-1.0
RuleFit,4,0.9026548672566372,0.9466019417475728,0.8526682692307692,1.4250240325927734,48,28.15265486725664,0.5865136430678466,0.270333908857744
GLRM,4,0.9070796460176992,0.9486552567237164,0.8348317307692309,6.003887414932251,19,11.783185840707963,0.620167675826735,0.2662240849680993
