method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,1,0.7017828200972447,0.642023346303502,0.7423635824436536,0.7641716003417969,-1,-1.0,-1.0,-1.0
LightGBM,1,0.6823338735818476,0.6186770428015563,0.7164145907473309,0.0840508937835693,-1,-1.0,-1.0,-1.0
KernelSVM,1,0.6985413290113452,0.6352941176470589,0.7435180477885104,4.099680662155151,-1,-1.0,-1.0,-1.0
RuleFit,1,0.7017828200972447,0.6567164179104478,0.7471985680393154,0.2121248245239257,22,8.175040518638573,0.3715927508472079,0.355891020052042
GLRM,1,0.6952998379254457,0.6594202898550725,0.740727207253008,0.9240889549255372,15,7.849270664505672,0.5232847109670449,0.3012961185908325
LIRE,1,0.7017828200972447,0.657992565055762,0.7399434417895272,6.542735815048218,11,1.7163695299837924,0.1560335936348902,0.4673501557308567
RF,2,0.7050243111831442,0.6403162055335969,0.7511068039315371,0.4571342468261719,-1,-1.0,-1.0,-1.0
LightGBM,2,0.6904376012965965,0.6262230919765167,0.7270219030672767,0.0822172164916992,-1,-1.0,-1.0,-1.0
KernelSVM,2,0.7147487844408428,0.6507936507936508,0.7528332062362311,5.468585252761841,-1,-1.0,-1.0,-1.0
RuleFit,2,0.706645056726094,0.6641929499072357,0.7548508727334349,1.301565408706665,45,16.32090761750405,0.3626868359445345,0.3723651481525852
GLRM,2,0.7017828200972447,0.6630036630036631,0.7502488984917811,1.4004709720611572,18,10.66612641815235,0.5925625787862416,0.2789151828655632
LIRE,2,0.6969205834683955,0.6282306163021868,0.7441535332994407,10.983609437942505,22,3.030794165316045,0.1377633711507293,0.4669503340793491
RF,3,0.6564019448946515,0.596958174904943,0.7061409083206236,0.4942553043365478,-1,-1.0,-1.0,-1.0
LightGBM,3,0.6239870340356564,0.5589353612167299,0.6820454160311812,0.0830051898956298,-1,-1.0,-1.0,-1.0
KernelSVM,3,0.6774716369529984,0.6074950690335306,0.7038002033553634,4.262320280075073,-1,-1.0,-1.0,-1.0
RuleFit,3,0.6580226904376013,0.6252220248667851,0.7011364599220472,1.3248066902160645,45,16.943273905996758,0.376517197911039,0.3426961506144632
GLRM,3,0.6499189627228525,0.6115107913669064,0.7107481782748686,1.4141120910644531,20,11.20583468395462,0.5602917341977309,0.2873828377410534
LIRE,3,0.6482982171799028,0.609009009009009,0.7012688527368243,5.590766906738281,10,1.700162074554295,0.1700162074554295,0.4629446276171695
RF,4,0.6645056726094003,0.5949119373776909,0.7219009489916963,0.1649894714355468,-1,-1.0,-1.0,-1.0
LightGBM,4,0.6482982171799028,0.5850860420650096,0.6941408235892221,0.0903205871582031,-1,-1.0,-1.0,-1.0
KernelSVM,4,0.6904376012965965,0.6232741617357002,0.7405524487375021,3.923014879226685,-1,-1.0,-1.0,-1.0
RuleFit,4,0.6823338735818476,0.6245210727969349,0.7206193865446535,1.2852928638458252,21,7.709886547811993,0.3671374546577139,0.3386263667826188
GLRM,4,0.6726094003241491,0.6300366300366299,0.7368719284866972,0.9274837970733644,16,8.183144246353322,0.5114465153970826,0.3011850096830322
LIRE,4,0.6564019448946515,0.6044776119402984,0.7198091425182173,11.492582321166992,21,2.3841166936790925,0.113529366365671,0.4693602979013989
RF,5,0.6499189627228525,0.5714285714285714,0.7093712930011861,0.7566514015197754,-1,-1.0,-1.0,-1.0
LightGBM,5,0.653160453808752,0.5946969696969697,0.6798265124555161,0.0844905376434326,-1,-1.0,-1.0,-1.0
