method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,1,0.7155870445344129,0.7326355851569935,0.7949399924477499,2.9781911373138428,-1,-1.0,-1.0,-1.0
LightGBM,1,0.7115384615384616,0.7235693501454898,0.7806604935231246,0.2406461238861084,-1,-1.0,-1.0,-1.0
KernelSVM,1,0.7196356275303644,0.7339097022094141,0.7937127518100773,10.551120519638062,-1,-1.0,-1.0,-1.0
RuleFit,1,0.7165991902834008,0.7281553398058251,0.7902239406327471,0.330305814743042,47,16.846153846153847,0.3584288052373159,0.3613614265943571
GLRM,1,0.7135627530364372,0.7276227141482196,0.7977679817432564,19.83204960823059,79,39.75910931174089,0.503279864705581,0.3409441314437973
LIRE,1,0.7135627530364372,0.7255092143549952,0.7797410891658048,178.95580792427063,131,16.65688259109312,0.1271517755045276,0.4708460657982638
RF,2,0.7244174265450861,0.7549549549549549,0.7956046758417584,1.790771245956421,-1,-1.0,-1.0,-1.0
LightGBM,2,0.7112462006079028,0.7434743474347434,0.7704855998223115,0.1390633583068847,-1,-1.0,-1.0,-1.0
KernelSVM,2,0.7345491388044579,0.7587476979742174,0.797200582423639,11.320850610733032,-1,-1.0,-1.0,-1.0
RuleFit,2,0.7173252279635258,0.7506702412868632,0.7920467913228749,2.1178910732269287,91,28.720364741641337,0.3156084037543004,0.3974574861495509
GLRM,2,0.7335359675785208,0.7637017070979336,0.7903480557086565,4.176684379577637,43,23.6484295845998,0.5499634787116232,0.3061046114117121
LIRE,2,0.7254305977710233,0.7595385980479148,0.7929352341622724,49.00163197517395,27,3.037487335359676,0.1124995309392472,0.4770718696728084
RF,3,0.7325227963525835,0.7523452157598499,0.8136244354686125,1.546501398086548,-1,-1.0,-1.0,-1.0
LightGBM,3,0.7223910840932117,0.7344961240310078,0.7839315240907857,0.2480189800262451,-1,-1.0,-1.0,-1.0
KernelSVM,3,0.7304964539007093,0.7427466150870407,0.810708204111516,10.733367919921877,-1,-1.0,-1.0,-1.0
