method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
RF,1,0.9902912621359224,0.9904761904761904,1.0,0.0956461429595947,-1,-1.0,-1.0,-1.0
LightGBM,1,1.0,1.0,1.0,0.0523912906646728,-1,-1.0,-1.0,-1.0
KernelSVM,1,0.8252427184466019,0.847457627118644,0.9339622641509434,0.1105258464813232,-1,-1.0,-1.0,-1.0
RuleFit,1,1.0,1.0,1.0,0.1084961891174316,112,18.631067961165048,0.1663488210818307,0.4587616079319635
GLRM,1,1.0,1.0,1.0,30.004542350769043,87,40.36893203883495,0.4640107130900568,0.358572040160813
LIRE,1,1.0,1.0,1.0,3.332897901535034,39,4.737864077669903,0.1214836942992282,0.4693578302339525
RF,2,1.0,1.0,1.0,0.0955088138580322,-1,-1.0,-1.0,-1.0
LightGBM,2,1.0,1.0,1.0,0.0521016120910644,-1,-1.0,-1.0,-1.0
KernelSVM,2,0.8932038834951457,0.9043478260869564,0.9411320754716982,0.1058251857757568,-1,-1.0,-1.0,-1.0
RuleFit,2,1.0,1.0,1.0,0.8557353019714355,138,26.75728155339806,0.193893344589841,0.4460169801237147
GLRM,2,0.970873786407767,0.970873786407767,0.9920754716981132,43.12385106086731,81,37.650485436893206,0.4648208078628791,0.3502611638506904
LIRE,2,1.0,1.0,1.0,4.093488693237305,42,5.368932038834951,0.127831715210356,0.4732886215082875
RF,3,1.0,1.0,1.0,0.093973159790039,-1,-1.0,-1.0,-1.0
LightGBM,3,1.0,1.0,1.0,0.049260139465332,-1,-1.0,-1.0,-1.0
KernelSVM,3,0.8446601941747572,0.8596491228070176,0.9449056603773586,0.1032633781433105,-1,-1.0,-1.0,-1.0
RuleFit,3,1.0,1.0,1.0,0.820218563079834,189,32.94174757281554,0.1742949607027277,0.4568073306252954
GLRM,3,1.0,1.0,1.0,24.39383864402771,82,38.50485436893204,0.4695713947430736,0.3554364914504055
LIRE,3,1.0,1.0,1.0,13.264486312866213,71,10.815533980582524,0.1523314645152468,0.4638119934715345
RF,4,1.0,1.0,1.0,0.0930407047271728,-1,-1.0,-1.0,-1.0
LightGBM,4,1.0,1.0,1.0,0.0515964031219482,-1,-1.0,-1.0,-1.0
KernelSVM,4,0.8155339805825242,0.8318584070796461,0.9041509433962264,0.1076583862304687,-1,-1.0,-1.0,-1.0
RuleFit,4,1.0,1.0,1.0,0.8664839267730713,202,38.87378640776699,0.1924444871671633,0.4488852870644097
GLRM,4,1.0,1.0,1.0,50.4264235496521,68,29.00970873786408,0.4266133637921188,0.3576374358761895
LIRE,4,0.970873786407767,0.970873786407767,0.980754716981132,3.951179265975952,37,5.398058252427185,0.1458934662818158,0.4650063488959676
RF,5,0.970873786407767,0.9724770642201834,0.9920754716981132,0.097222089767456,-1,-1.0,-1.0,-1.0
LightGBM,5,1.0,1.0,1.0,0.0539822578430175,-1,-1.0,-1.0,-1.0
KernelSVM,5,0.8252427184466019,0.8524590163934427,0.9079245283018867,0.1066462993621826,-1,-1.0,-1.0,-1.0
RuleFit,5,0.970873786407767,0.9724770642201834,0.9977358490566036,0.8684642314910889,124,22.07766990291262,0.1780457250234889,0.4543126215031665
GLRM,5,0.970873786407767,0.9724770642201834,0.9864150943396226,26.592485904693604,81,38.16504854368932,0.4711734388109793,0.3508775118695042
LIRE,5,1.0,1.0,1.0,5.237095594406128,40,6.174757281553398,0.1543689320388349,0.465403250015147
RF,6,1.0,1.0,1.0,0.0957391262054443,-1,-1.0,-1.0,-1.0
LightGBM,6,1.0,1.0,1.0,0.07000732421875,-1,-1.0,-1.0,-1.0
KernelSVM,6,0.8627450980392157,0.8771929824561403,0.95,0.1108651161193847,-1,-1.0,-1.0,-1.0
