method,fold,accuracy,f1,auc,gsup,lsup,rsup,div,C_l1,C_l0,C_li,time
RF,1,0.7976665643229967,0.8823424388502054,0.8897068826912373,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6047348976135254
RuleFit,1,0.854467301197421,0.9077821011673152,0.9134595366190505,98,32.02364138778017,0.326771850895716,0.4227973329355077,0.0005,-1.0,-1.0,1.8362839221954346
RuleFit,1,0.8510899600859687,0.905476515299162,0.9116808896584421,70,26.525637089346024,0.3789376727049432,0.3999801912516337,0.001,-1.0,-1.0,1.58980393409729
RuleFit,1,0.841879029782008,0.9006366968936909,0.905106878568631,30,14.581516733190051,0.4860505577730017,0.3447801254080222,0.005,-1.0,-1.0,1.3121311664581299
RuleFit,1,0.8403438747313479,0.8997686969930608,0.8983543070929441,23,12.523794903285232,0.5445128218819666,0.30999702224134906,0.01,-1.0,-1.0,1.1270701885223389
RuleFit,1,0.816088424930918,0.8907930720145852,0.8662051924226497,5,3.4292293521645685,0.6858458704329137,0.16454492907565227,0.05,-1.0,-1.0,1.1267268657684326
LIRE,1,0.856002456248081,0.9075497733096787,0.9127027806979573,110,18.988332821614982,0.1726212074692271,0.4639096130174143,-1.0,0.0005,0.1,165.95857286453247
LIRE,1,0.8556954252379491,0.9074074074074074,0.9131024158472987,108,10.304267731040834,0.09540988639852624,0.4843174665037104,-1.0,0.0005,0.5,272.37578439712524
LIRE,1,0.8541602701872889,0.9075695660634364,0.9117844701420238,107,10.037457783236107,0.09380801666575801,0.4781841638523258,-1.0,0.0005,1.0,320.98039507865906
LIRE,1,0.8495548050353086,0.904296875,0.9066778492362871,69,3.4940128953024256,0.05063786804786124,0.48374994774914665,-1.0,0.0005,5.0,137.30426859855652
LIRE,1,0.8406509057414799,0.8994770482277745,0.8710270958299837,56,1.3662879950875038,0.02439799991227685,0.48884696841144704,-1.0,0.0005,10.0,185.44101858139038
LIRE,1,0.855081363217685,0.9068298460323727,0.9121951847958278,75,15.314399754375192,0.20419199672500254,0.4556737846693654,-1.0,0.00075,0.1,108.22847557067871
LIRE,1,0.8590727663494013,0.909770001965795,0.9118071444767382,85,8.412342646607307,0.0989687370189095,0.4822962789040591,-1.0,0.00075,0.5,318.9668731689453
LIRE,1,0.8480196499846484,0.9037526735368462,0.9101480530991692,69,4.054037457783236,0.05875416605482951,0.4863038690024541,-1.0,0.00075,1.0,367.82585072517395
LIRE,1,0.8455634019035922,0.9015077344820833,0.9004233401356336,47,1.9490328523180842,0.041468784091874135,0.48063861379125355,-1.0,0.00075,5.0,159.90582847595215
LIRE,1,0.8403438747313479,0.9000000000000001,0.8921696246366952,43,1.591648756524409,0.03701508736103277,0.486913036167111,-1.0,0.00075,10.0,89.76330661773682
LIRE,1,0.8477126189745164,0.9029354207436399,0.9121632345969122,56,12.84065090574148,0.22929733760252644,0.4532853400992528,-1.0,0.001,0.1,116.34418821334839
LIRE,1,0.8517040221062327,0.9049025398700532,0.9112145198194298,66,7.812711083819465,0.11837441036090099,0.47739342253206557,-1.0,0.001,0.5,307.9428861141205
LIRE,1,0.8489407430150445,0.9034536891679749,0.9085569847257438,56,5.708934602394842,0.10194526075705075,0.472779350929128,-1.0,0.001,1.0,169.26303911209106
LIRE,1,0.8443352778630642,0.9008797653958944,0.8993707872116752,39,1.8243782622044826,0.046778929800114936,0.4842448135533459,-1.0,0.001,5.0,103.0622124671936
LIRE,1,0.8375805956401596,0.898053574869917,0.8207720095644467,30,0.6938900828983727,0.023129669429945758,0.48489822185670994,-1.0,0.001,10.0,119.78053641319275
